"","image_id","predefined_tags","people_n","ethnicities","sign_slogan_symbol","anger","fear","disgust","sadness","enthusiasm"
"1338",40436,"Street protest, Police",24,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,0,1,1,1
"1339",184074,"Street protest",24,"Black, White, non-Hispanic","",1,0,0,0,1
"1340",38236,"Police",24,"Black, White, non-Hispanic, Asian","protest sign",1,0,2,1,1
"1341",127443,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",24,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",0,0,0,0,1
"1342",103694,"Street protest",24,"Black","protest sign",0,0,0,0,1
"1343",58689,"Street protest",23,"","protest slogan (e.g. black lives matter; hands up, don't shoot!)",0,0,1,0,0
"1344",105770,"Street protest",23,"Black, White, non-Hispanic","",0,0,0,0,2
"1345",50435,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",23,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,0,2,0,2
"1346",55398,"Street protest",23,"Black, White, non-Hispanic","",0,0,0,0,0
"1347",33820,"Street protest",22,"Black, White, non-Hispanic","protest sign",0,0,0,1,1
"1348",55033,"Street protest",22,"Black, White, non-Hispanic","protest sign",1,0,0,0,1
"1349",102314,"Street protest, Advertisement for protest or BLM event",22,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",0,0,0,0,1
"1350",181677,"Street protest",22,"Black, White, non-Hispanic","protest sign",1,0,1,1,1
"1351",71329,"Street protest",22,"Black, White, non-Hispanic","protest sign, symbol (e.g. flags, logos)",0,0,0,0,1
